1;riacho;rio pequeno de dois metros de largura
2;açude;rio pequeno de dois metros de largura'
3;lagoa;rio pequeno de dois metros de largura
4;barreiro;rio pequeno de dois metros de largura
5;rio;rio pequeno de dois metros de largura
6;riozinho;rio pequeno de dois metros de largura
7;ponte;tronco, pedaço de pau ou tábua que serve para passar por cima de um rio pequeno
8;pinguela;tronco, pedaço de pau ou tábua que serve para passar por cima de um rio pequeno
9;passarela;tronco, pedaço de pau ou tábua que serve para passar por cima de um rio pequeno	
10;passagem;tronco, pedaço de pau ou tábua que serve para passar por cima de um rio pequeno
11;passador;tronco, pedaço de pau ou tábua que serve para passar por cima de um rio pequeno
12;corrente;movimento da água do rio
13;correnteza;movimento da água do rio
14;maré;movimento da água do rio
15;mareta;movimento da água do rio
16;onda;movimento da água do rio
17;raio;uma luz forte e rápida que sai das nuvens, que pode queimar uma arvore
18;relâmpago;uma luz forte e rápida que sai das nuvens, que pode queimar uma arvore
19;corisco;uma luz forte e rápida que sai das nuvens, que pode queimar uma arvore
20;trovão;uma luz forte e rápida que sai das nuvens, que pode queimar uma arvore
21;chuva de vento;chuva de pouca duração muito forte e pesada
22;chuva forte;chuva de pouca duração muito forte e pesada
23;chuva grossa;chuva de pouca duração muito forte e pesada
24;chuva passageira;chuva de pouca duração muito forte e pesada
25;trovoada;chuva de pouca duração muito forte e pesada
26;tempestade;chuva de pouca duração muito forte e pesada
27;toró;chuva de pouca duração muito forte e pesada
28;tromba d'água;chuva de pouca duração muito forte e pesada
29;temporal;chuva de pouca duração muito forte e pesada
30;chuva de pedra;bolinhas de gelo que podem cair durante uma chuva
31;chuva de gelo;bolinhas de gelo que podem cair durante uma chuva
32;chuva de granito;bolinhas de gelo que podem cair durante uma chuva
33;chuva de granizo;bolinhas de gelo que podem cair durante uma chuva
34;estiou;quando a chuva termina e o sol começa a aparecer
35;o tempo mudou;quando a chuva termina e o sol começa a aparecer
36;o tempo passou;quando a chuva termina e o sol começa a aparecer
37;o tempo clareou;quando a chuva termina e o sol começa a aparecer
38;o sol saiu;quando a chuva termina e o sol começa a aparecer
39;o sol apareceu;quando a chuva termina e o sol começa a aparecer
40;a chuva parou;quando a chuva termina e o sol começa a aparecer
41;a chuva passou;quando a chuva termina e o sol começa a aparecer
42;arco;listras coloritas e curvadas que aparecem no ceu pos uma chuva
43;arco-iris;listras coloritas e curvadas que aparecem no ceu pos uma chuva
44;arco-celeste;listras coloritas e curvadas que aparecem no ceu pos uma chuva
45;olho-de-boi;listras coloritas e curvadas que aparecem no ceu pos uma chuva
46;garoa;chuva bem fininha
47;neblina;chuva bem fininha
48;lebrina;chuva bem fininha
49;sereno;chuva bem fininha
50;chuva fina;chuva bem fininha
51;chuva fraca;chuva bem fininha
52;chuva de inverno;chuva bem fininha
53;chuvisco;chuva bem fininha
54;úmida;estado da terra quando ela não fica nem seca nem molhada 
55;ensombrada;estado da terra quando ela não fica nem seca nem molhada
56;zarolha;estado da terra quando ela não fica nem seca nem molhada
57;orvalho;aquilo que molha a grama de manhã cedo 
58;sereno;aquilo que molha a grama de manhã cedo 
59;neblina;aquilo que molha a grama de manhã cedo 
60;manhã;parte do dia quando começa a clarear
61;madrugada;parte do dia quando começa a clarear
62;quando o sol nasce;parte do dia quando começa a clarear
63;quando o dia amanhece;parte do dia quando começa a clarear
64;bem cedo;parte do dia quando começa a clarear
65;ta clareando;parte do dia quando começa a clarear
66;anoitecer;o começo da noite
67;ta de noite;o começo da noite
68;boca da noite;o começo da noite
69;escurecer;o começo da noite
70;escuridão;o começo da noite
71;tardezinha;o começo da noite
72;estrela cadente;uma estrela que se desloca no céu fazendo um risco de luz a noite
73;estrela se mudando;uma estrela que se desloca no céu fazendo um risco de luz a noite
74;zelação;uma estrela que se desloca no céu fazendo um risco de luz a noite
75;relação;uma estrela que se desloca no céu fazendo um risco de luz a noite
76;relevação;uma estrela que se desloca no céu fazendo um risco de luz a noite
77;antonte;dois dias atraz e três dias atraz
78;ontonte;dois dias atraz e três dias atraz
79;antes de ontonte;dois dias atraz e três dias atraz
80;antes de ontem;dois dias atraz e três dias atraz
81;ternantonte;dois dias atraz e três dias atraz
82;dernantonte;dois dias atraz e três dias atraz
83;antes de ontem de ontem;dois dias atraz e três dias atraz
84;tangerina;fruta menor que laranja, que se descasca com a mão e que deixa um cheiro na mão 
85;laranja-cravo;fruta menor que laranja, que se descasca com a mão e que deixa um cheiro na mão
86;mexerica;fruta menor que laranja, que se descasca com a mão e que deixa um cheiro na mão
87;penca;cada parte que se corta do cacho da bananeira para pôr para amadurecer 
88;cacho;cada parte que se corta do cacho da bananeira para pôr para amadurecer 
89;palma;cada parte que se corta do cacho da bananeira para pôr para amadurecer 
90;mala;objeto de couro, com tampa, para levar farinha, no lombo do cavalo ou do burro
91;alforje;objeto de couro, com tampa, para levar farinha, no lombo do cavalo ou do burro
92;caçuá de couro;objeto de couro, com tampa, para levar farinha, no lombo do cavalo ou do burro
93;bolsa;objeto de couro, com tampa, para levar farinha, no lombo do cavalo ou do burro
94;baú;objeto de couro, com tampa, para levar farinha, no lombo do cavalo ou do burro
95;mochila;objeto de couro, com tampa, para levar farinha, no lombo do cavalo ou do burro
96;trabalhador;pessoa contratada para trabalhar na roça de outra e que recebe por dia trabalhado
97;trabalhador de alugado;pessoa contratada para trabalhar na roça de outra e que recebe por dia trabalhado
98;trabalhador a dia;pessoa contratada para trabalhar na roça de outra e que recebe por dia trabalhado
99;diarista;pessoa contratada para trabalhar na roça de outra e que recebe por dia trabalhado
100;agricultor;pessoa contratada para trabalhar na roça de outra e que recebe por dia trabalhado
101;empregado;pessoa contratada para trabalhar na roça de outra e que recebe por dia trabalhado
102;caminho;quando se abre com machado, o facão, a foice para passar por um mato fechado
103;vareda;quando se abre com machado, o facão, a foice para passar por um mato fechado
104;varedo;quando se abre com machado, o facão, a foice para passar por um mato fechado
105;vereda;quando se abre com machado, o facão, a foice para passar por um mato fechado
106;trilha;quando se abre com machado, o facão, a foice para passar por um mato fechado
107;mato;quando se abre com machado, o facão, a foice para passar por um mato fechado
108;picada;quando se abre com machado, o facão, a foice para passar por um mato fechado
109;carreiro;quando se abre com machado, o facão, a foice para passar por um mato fechado
110;joão-de-barro;ave que faz sua casa com terra, nos postes, nás arvores e até nos cantos das casas
111;joana-de-barro;ave que faz sua casa com terra, nos postes, nás arvores e até nos cantos das casas
112;maria-de-barro;ave que faz sua casa com terra, nos postes, nás arvores e até nos cantos das casas
113;pica-pau;ave que faz sua casa com terra, nos postes, nás arvores e até nos cantos das casas
114;suru;uma galinha sem rabo
115;sura;uma galinha sem rabo
116;cotó;uma galinha sem rabo
117;sem rabo;uma galinha sem rabo
118;gambá;animal que carrega os filhotes numa bolsa que tem na barriga e solta um cheiro muito ruim
119;ticaca;animal que carrega os filhotes numa bolsa que tem na barriga e solta um cheiro muito ruim
120;tacaca;animal que carrega os filhotes numa bolsa que tem na barriga e solta um cheiro muito ruim
121;cassaco;animal que carrega os filhotes numa bolsa que tem na barriga e solta um cheiro muito ruim
122;cangambá;animal que carrega os filhotes numa bolsa que tem na barriga e solta um cheiro muito ruim
123;cambabá;animal que carrega os filhotes numa bolsa que tem na barriga e solta um cheiro muito ruim
124;camambá;animal que carrega os filhotes numa bolsa que tem na barriga e solta um cheiro muito ruim
125;timbu;animal que carrega os filhotes numa bolsa que tem na barriga e solta um cheiro muito ruim
126;tembu;animal que carrega os filhotes numa bolsa que tem na barriga e solta um cheiro muito ruim
127;libélula;inseto de corpo comprido e fino, com quatro asas bem tranparentes, que vive perto da água e que voa
128;cabra-cega;inseto de corpo comprido e fino, com quatro asas bem tranparentes, que vive perto da água e que voa
129;lava-cu;inseto de corpo comprido e fino, com quatro asas bem tranparentes, que vive perto da água e que voa
130;lava bunda;inseto de corpo comprido e fino, com quatro asas bem tranparentes, que vive perto da água e que voa
131;molha-bunda;inseto de corpo comprido e fino, com quatro asas bem tranparentes, que vive perto da água e que voa
132;zigue-zigue;inseto de corpo comprido e fino, com quatro asas bem tranparentes, que vive perto da água e que voa
133;zigue-zague;inseto de corpo comprido e fino, com quatro asas bem tranparentes, que vive perto da água e que voa
134;lagarta;bichinho branco, enrrugado, que da em goiaba
135;masca branca;bichinho branco, enrrugado, que da em goiaba
136;tapuru;bichinho branco, enrrugado, que da em goiaba
137;bicho da goiaba;bichinho branco, enrrugado, que da em goiaba
138;morotó;bichinho branco, enrrugado, que da em goiaba
139;gogó;parte alta do pescoço do homen
140;gargelo;parte alta do pescoço do homen
141;gargarelo;parte alta do pescoço do homen
142;nó da goela;parte alta do pescoço do homen
143;goela;parte alta do pescoço do homen
144;caroço;parte alta do pescoço do homen
145;manco;pessoa que puxa uma perna quando anda
146;tá mancando;pessoa que puxa uma perna quando anda
147;daficiente;pessoa que puxa uma perna quando anda
148;coxo;pessoa que puxa uma perna quando anda
149;concho;pessoa que puxa uma perna quando anda
150;aleijado;pessoa que puxa uma perna quando anda
151;cotó;pessoa que puxa uma perna quando anda
152;conhém;pessoa que puxa uma perna quando anda
153;tornozelo;parte do corpo que articulada que liga o final da perna com o inicio do pé 
154;mocotó;parte do corpo que articulada que liga o final da perna com o inicio do pé 
155;canela;parte do corpo que articulada que liga o final da perna com o inicio do pé 
156;calcanhar;parte do corpo que articulada que liga o final da perna com o inicio do pé 
157;parir;ato de expelir pelo utero o que estava em seu interior
158;descançar;ato de expelir pelo utero o que estava em seu interior
159;ganhar neném;ato de expelir pelo utero o que estava em seu interior
160;ter neném;ato de expelir pelo utero o que estava em seu interior
161;dar à luz;ato de expelir pelo utero o que estava em seu interior
162;conversador;pessoa que fala de mais
163;falador;pessoa que fala de mais
164;faladeiro;pessoa que fala de mais
165;fala muito;pessoa que fala de mais
166;fala demais;pessoa que fala de mais
167;fofoqueiro;pessoa que fala de mais
168;linguarudo;pessoa que fala de mais
169;zoadento;pessoa que fala de mais
170;pão-duro;pessoa que não gosta de gastar seu dinheiro
171;mão-de-vaca;pessoa que não gosta de gastar seu dinheiro
172;mão-fechada;pessoa que não gosta de gastar seu dinheiro
173;seguro;pessoa que não gosta de gastar seu dinheiro
174;pirangueiro;pessoa que não gosta de gastar seu dinheiro
175;canguinha;pessoa que não gosta de gastar seu dinheiro
176;econõmico;pessoa que não gosta de gastar seu dinheiro
177;pistoleiro;pessoa paga para matar alguem
178;criminoso;pessoa paga para matar alguem
179;assasino;pessoa paga para matar alguem
180;matador;pessoa paga para matar alguem
181;bandido;pessoa paga para matar alguem
182;prostituta;mulher que se vende para qualquer homem
183;rapariga;mulher que se vende para qualquer homem
184;puta;mulher que se vende para qualquer homem
185;mulhar-da-vida;mulher que se vende para qualquer homem
186;vagabunda;mulher que se vende para qualquer homem
187;bêbado;pessoa que bebeu de mais
188;cachaceiro;pessoa que bebeu de mais
189;alcóolatra;pessoa que bebeu de mais
190;bebão;pessoa que bebeu de mais
191;beberrão;pessoa que bebeu de mais
192;cigarro de fumo;cigarro que as pessoa faziam antigamente, enrrolado a mão
193;cigarro de corda;cigarro que as pessoa faziam antigamente, enrrolado a mão
194;cigarro de palha;cigarro que as pessoa faziam antigamente, enrrolado a mão
195;pacaia;cigarro que as pessoa faziam antigamente, enrrolado a mão
196;beata;resto de cigarro que se joga fora
197;bituca;resto de cigarro que se joga fora
198;bicuta;resto de cigarro que se joga fora
199;pituca;resto de cigarro que se joga fora
200;biola;resto de cigarro que se joga fora
201;piola;resto de cigarro que se joga fora
202;goia;resto de cigarro que se joga fora
203;baga;resto de cigarro que se joga fora
204;pnta de cigarro;resto de cigarro que se joga fora
205;feitiço;ajuda dos espiritos para prejudicar alguém
206;catimbó;ajuda dos espiritos para prejudicar alguém
207;daspacho;ajuda dos espiritos para prejudicar alguém
208;macumba;ajuda dos espiritos para prejudicar alguém
209;bruxaria;ajuda dos espiritos para prejudicar alguém
210;bunda canastra;brincadeira em que se gira o corpo sobre a cabeça e acaba sentado
211;cambalhota;brincadeira em que se gira o corpo sobre a cabeça e acaba sentado
212;pulo mortal;brincadeira em que se gira o corpo sobre a cabeça e acaba sentado
213;ginástica;brincadeira em que se gira o corpo sobre a cabeça e acaba sentado
214;pulo de costa;brincadeira em que se gira o corpo sobre a cabeça e acaba sentado
215;cangapé;brincadeira em que se gira o corpo sobre a cabeça e acaba sentado
216;bola de gude;bolinhas de vidro que os meninos gostam de brincar
217;bola de vidro;bolinhas de vidro que os meninos gostam de brincar
218;bila;bolinhas de vidro que os meninos gostam de brincar
219;bolita;bolinhas de vidro que os meninos gostam de brincar
220;ximbra;bolinhas de vidro que os meninos gostam de brincar
221;baladeira;objeto feito de uma forquilha e de duas tiras de borracha e que os meninos usam para matar passarinho 
222;baleeira;objeto feito de uma forquilha e de duas tiras de borracha e que os meninos usam para matar passarinho 
223;peteca;objeto feito de uma forquilha e de duas tiras de borracha e que os meninos usam para matar passarinho 
224;estilingue;objeto feito de uma forquilha e de duas tiras de borracha e que os meninos usam para matar passarinho 
225;badoque;objeto feito de uma forquilha e de duas tiras de borracha e que os meninos usam para matar passarinho 
226;gangorra;tábua apoiada no meio, em cujas pontas sentam duas crianças e quando uma sobe, a outra desce
227;balanço;tábua apoiada no meio, em cujas pontas sentam duas crianças e quando uma sobe, a outra desce
228;balancim;tábua apoiada no meio, em cujas pontas sentam duas crianças e quando uma sobe, a outra desce
229;balançador;tábua apoiada no meio, em cujas pontas sentam duas crianças e quando uma sobe, a outra desce
230;burrica;tábua apoiada no meio, em cujas pontas sentam duas crianças e quando uma sobe, a outra desce
231;canoa;tábua apoiada no meio, em cujas pontas sentam duas crianças e quando uma sobe, a outra desce
232;cademia;jogo em que as crianças riscam no chão, formada por dez quadrados numerados, com um céu e um inferno, e elas vão pulando com uma perna só
233;amarelinha;jogo em que as crianças riscam no chão, formada por dez quadrados numerados, com um céu e um inferno, e elas vão pulando com uma perna só
234;avião;jogo em que as crianças riscam no chão, formada por dez quadrados numerados, com um céu e um inferno, e elas vão pulando com uma perna só
235;macaco;jogo em que as crianças riscam no chão, formada por dez quadrados numerados, com um céu e um inferno, e elas vão pulando com uma perna só
236;grampo;objeto fino de metal capaz de prender o cabelo
237;biliro;objeto fino de metal capaz de prender o cabelo
238;friso;objeto fino de metal capaz de prender o cabelo
239;misse;objeto fino de metal capaz de prender o cabelo
240;ataca;objeto fino de metal capaz de prender o cabelo
241;atraca;objeto fino de metal capaz de prender o cabelo
242;presilha;objeto fino de metal capaz de prender o cabelo
243;frevo;tipo de frevo que não tem letra de musica
244;frevo-de-rua;tipo de frevo que não tem letra de musica
245;frevo com orquestra;tipo de frevo que não tem letra de musica
246;frevo sem música;tipo de frevo que não tem letra de musica
247;banda de frevo;tipo de frevo que não tem letra de musica
248;guerreiros de lança;soldados da cavalaria armada de lança no Maracatu 
249;lanceiros;soldados da cavalaria armada de lança no Maracatu
250;lançadores;soldados da cavalaria armada de lança no Maracatu
251;soldado de lança;soldados da cavalaria armada de lança no Maracatu
252;cavaleiros;soldados da cavalaria armada de lança no Maracatu
253;renascença;tipo de renda confeccionada com agulha, linha, típica do nordeste, especial em pernambuco
254;renda;tipo de renda confeccionada com agulha, linha, típica do nordeste, especial em pernambuco
255;crochê;tipo de renda confeccionada com agulha, linha, típica do nordeste, especial em pernambuco
256;tricô;tipo de renda confeccionada com agulha, linha, típica do nordeste, especial em pernambuco
257;bordado;tipo de renda confeccionada com agulha, linha, típica do nordeste, especial em pernambuco
258;torno;peça usada para modelagem de figuras ou panelas de barro
259;fôrma;peça usada para modelagem de figuras ou panelas de barro
260;panela;peça usada para modelagem de figuras ou panelas de barro
261;máquina;peça usada para modelagem de figuras ou panelas de barro
262;bacia;peça usada para modelagem de figuras ou panelas de barro
